,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
374,Grenå,56.42,10.88,55.4,87,100,5.82,DK,1599972965
375,Severodvinsk,64.56,39.83,50.0,100,90,6.71,RU,1599972967
376,Kristianstad,56.03,14.15,54.0,87,100,8.05,SE,1599972968
377,Baykit,61.67,96.37,56.1,72,95,3.8,RU,1599972789
378,Casper,42.87,-106.31,55.99,62,1,4.54,US,1599972970
379,Pangody,65.85,74.49,54.63,78,88,17.6,RU,1599972972
380,Kavaratti,10.57,72.64,82.4,83,90,6.93,IN,1599972973
381,Khani,41.96,42.96,69.8,94,0,4.7,GE,1599972974
382,Mlonggo,-6.53,110.7,89.6,55,20,11.41,ID,1599972975
383,Touros,-5.2,-35.46,69.8,94,40,3.36,BR,1599972977
384,Flinders,-34.58,150.86,66.0,64,100,7.0,AU,1599972978
385,Adeje,28.12,-16.73,73.99,88,40,5.82,ES,1599972979
386,Manitouwadge,49.12,-85.84,54.23,98,100,5.59,CA,1599972980
387,Ikom,5.97,8.71,71.35,98,100,2.39,NG,1599972982
388,Havøysund,71.0,24.66,46.4,87,75,4.7,NO,1599972983
389,Kinablangan,7.69,126.55,86.9,64,88,6.53,PH,1599972984
390,Vilyuysk,63.76,121.62,47.61,95,100,5.99,RU,1599972986
391,Barrow,71.29,-156.79,39.2,86,90,16.11,US,1599972987
392,La Asuncion,11.03,-63.86,78.15,83,100,8.79,VE,1599972726
393,Arman',59.7,150.17,60.51,44,0,5.1,RU,1599972989
394,Santa Isabel,-23.32,-46.22,66.2,77,71,1.12,BR,1599972990
395,Riyadh,24.69,46.72,82.4,24,7,2.24,SA,1599972812
396,Arrondissement de Dieppe,49.75,1.17,52.0,100,44,2.24,FR,1599972993
397,Voh,-20.97,164.7,75.09,56,61,7.61,NC,1599972994
398,Penzance,50.12,-5.54,59.0,100,38,9.17,GB,1599972995
399,Lalibela,12.03,39.03,63.45,64,6,0.29,ET,1599972997
400,Parkes,-33.13,148.18,64.0,64,100,3.0,AU,1599972998
401,Tuy Hoa,13.08,109.3,90.43,56,3,7.02,VN,1599972999
402,Vangaindrano,-23.35,47.6,72.64,81,20,5.61,MG,1599973001
403,Bend,44.06,-121.32,62.6,36,90,4.21,US,1599972925
404,Wewak,-3.55,143.63,84.78,72,18,11.79,PG,1599973003
405,Mayo,38.89,-76.51,68.0,82,1,5.82,US,1599973000
406,Manggar,-2.88,108.27,81.75,75,97,7.14,ID,1599973005
407,Shache,38.42,77.24,81.18,17,0,7.7,CN,1599972855
408,Iberia,29.95,-91.75,77.0,94,40,5.82,US,1599973008
409,Mogzon,51.74,111.96,59.27,79,97,12.41,RU,1599973009
410,Cotonou,6.37,2.42,73.4,94,75,3.36,BJ,1599973010
411,Arkhara,49.42,130.08,71.73,58,100,1.77,RU,1599973011
412,Ulladulla,-35.35,150.47,62.01,67,90,12.75,AU,1599973013
413,Agüimes,27.91,-15.45,73.4,78,20,2.24,ES,1599973014
414,Joshīmath,30.57,79.57,75.33,35,0,6.24,IN,1599973015
415,Nefteyugansk,61.1,72.6,59.0,72,46,6.71,RU,1599973016
416,Egvekinot,66.32,-179.17,45.64,63,93,13.13,RU,1599973018
417,Nuuk,64.18,-51.72,37.0,43,0,6.93,GL,1599972728
418,Havre-St-Pierre,50.23,-63.6,42.8,93,1,2.24,CA,1599972763
419,Bria,6.54,21.99,68.07,96,81,0.76,CF,1599973021
420,Huanren,41.26,125.37,73.51,51,16,6.51,CN,1599973023
421,Vanimo,-2.67,141.3,86.13,69,76,10.07,PG,1599973024
422,Northam,51.03,-4.22,55.0,96,87,7.0,GB,1599973025
423,Kenai,60.55,-151.26,55.4,54,1,5.82,US,1599973027
424,Traralgon,-38.18,146.53,61.0,62,27,11.01,AU,1599973028
425,Nicolae Bălcescu,46.47,26.92,61.0,87,0,2.24,RO,1599973029
426,Mandalgovi,45.76,106.27,52.54,41,0,16.44,MN,1599973030
427,Luau,-10.71,22.22,63.16,34,3,4.45,AO,1599973032
428,Jimeta,9.28,12.47,72.84,92,98,2.46,NG,1599972849
429,Erenhot,43.65,111.98,69.62,25,95,12.15,CN,1599973034
430,Pascagoula,30.37,-88.56,80.6,94,75,6.93,US,1599973035
431,Khromtau,50.25,58.43,59.22,52,22,8.95,KZ,1599973036
432,Diego de Almagro,-26.37,-70.05,48.54,69,0,1.03,CL,1599973037
433,Agirish,61.92,63.02,48.72,69,52,7.11,RU,1599973039
434,Newport,51.59,-3.0,59.0,93,61,1.99,GB,1599972819
435,Mollendo,-17.02,-72.01,57.79,81,65,5.44,PE,1599973041
436,Muroto-misakicho,33.28,134.15,82.4,78,75,8.05,JP,1599973042
437,Chardara,41.25,67.97,73.13,32,0,7.09,KZ,1599973044
438,Alta,69.97,23.27,44.6,93,75,1.12,NO,1599973045
439,Marawi,8.0,124.29,84.99,80,40,5.99,PH,1599973046
440,Kangalassy,62.35,129.96,69.8,37,84,2.24,RU,1599973047
441,Lüderitz,-26.65,15.16,60.04,74,94,14.05,NA,1599973049
442,Mareeba,-17.0,145.43,75.0,71,72,7.0,AU,1599973050
443,Aquiraz,-3.9,-38.39,78.8,69,40,18.34,BR,1599973051
444,Bubaque,11.28,-15.83,79.29,84,97,9.73,GW,1599973052
445,Sindor,62.86,51.89,48.6,81,70,8.61,RU,1599973053
446,Severnoye,56.35,78.36,58.86,70,100,8.5,RU,1599973055
447,Roebourne,-20.78,117.13,94.91,20,0,13.04,AU,1599973056
448,Codrington,-38.27,141.97,57.15,71,0,16.6,AU,1599973057
449,Río Gallegos,-51.62,-69.22,41.0,75,40,21.92,AR,1599972873
450,Piranhas,-16.43,-51.82,73.33,21,0,5.26,BR,1599973060
451,Vicuña,-30.03,-70.71,48.99,65,0,0.58,CL,1599973061
452,Tezu,27.92,96.17,76.42,86,98,0.31,IN,1599973062
453,Sarany,58.5,58.88,44.31,91,90,5.88,RU,1599973063
454,Buala,-8.14,159.59,84.65,71,22,5.41,SB,1599973065
455,Puerto Escondido,15.85,-97.07,81.14,80,99,5.3,MX,1599973066
456,San Buenaventura,27.08,-101.53,82.99,55,85,5.01,MX,1599973067
457,Magdagachi,53.45,125.8,73.08,43,0,5.57,RU,1599973068
458,Tigil',57.8,158.67,46.67,66,100,19.15,RU,1599973069
459,Ledyard Center,41.44,-72.01,55.4,87,75,6.93,US,1599973071
460,Le Port,-20.94,55.29,73.4,69,75,11.41,RE,1599973072
461,Peleduy,59.63,112.74,51.1,76,99,12.1,RU,1599972854
462,Sambava,-14.27,50.17,74.44,69,28,13.47,MG,1599972852
463,Yulara,-25.24,130.99,87.8,19,27,14.99,AU,1599973075
464,Broome,42.25,-75.83,60.01,72,40,9.17,US,1599972815
465,Acaraú,-2.89,-40.12,77.16,79,1,18.01,BR,1599973078
466,Mnogovershinnyy,53.94,139.92,65.5,54,23,1.16,RU,1599973079
467,Asău,46.43,26.4,61.0,78,0,3.4,RO,1599973080
468,Kabare,-2.47,28.82,65.84,58,53,1.45,CD,1599973081
469,Ponta Delgada,37.73,-25.67,69.8,83,20,3.36,PT,1599973083
470,Chavinda,20.02,-102.45,60.53,90,74,3.15,MX,1599973084
471,Kisanga,-7.44,37.7,77.56,66,46,1.77,TZ,1599973085
472,Angoram,-4.06,144.07,92.17,51,5,7.0,PG,1599973086
473,Noboribetsu,42.45,141.17,64.99,93,75,5.82,JP,1599973087
474,Nabire,-3.37,135.48,79.93,81,100,2.19,ID,1599972906
475,Virginia Beach,36.85,-75.98,75.2,73,75,6.93,US,1599973045
476,Lethem,3.38,-59.8,78.98,69,83,4.21,GY,1599973091
477,Takoradze,4.88,-1.76,74.3,93,85,5.88,GH,1599973092
478,Dhangadhi,28.71,80.6,89.64,65,33,2.53,NP,1599973093
479,Busembatia,0.77,33.61,67.82,83,92,5.46,UG,1599973094
480,Beyneu,45.32,55.2,75.29,23,0,2.46,KZ,1599973096
481,Clearlake,38.96,-122.63,69.01,42,0,3.56,US,1599973006
482,Camaná,-16.62,-72.71,59.43,80,13,5.64,PE,1599973098
483,Caceres,39.52,-6.37,72.0,43,80,1.01,ES,1599973099
484,Noyabrsk,63.2,75.45,56.64,73,1,13.18,RU,1599973101
485,Poli,-3.33,36.8,60.8,93,40,9.17,TZ,1599973102
486,Itacarambi,-15.1,-44.09,63.99,58,0,2.86,BR,1599973103
487,Ratholo,-22.72,27.57,56.32,73,0,4.5,BW,1599973104
488,Padang,-0.95,100.35,85.08,64,87,5.79,ID,1599973106
489,Cairns,-16.92,145.77,73.4,73,75,19.46,AU,1599973107
490,Luanda,-8.84,13.23,71.6,88,75,5.82,AO,1599973108
491,Oktyabr'skoye,43.06,44.74,62.6,88,0,2.24,RU,1599973109
492,Menzelinsk,55.73,53.1,50.0,87,30,8.95,RU,1599973110
493,Dongkan,34.0,119.83,77.36,74,97,8.12,CN,1599973112
494,Yaan,7.38,8.57,71.64,99,100,6.46,NG,1599973113
495,Syracuse,37.09,15.28,75.0,88,16,6.93,IT,1599973031
496,Malaya Serdoba,52.47,44.95,55.74,61,0,5.17,RU,1599973115
497,Jardinópolis,-21.02,-47.76,75.2,33,0,4.7,BR,1599973118
498,Matara,5.95,80.54,82.06,80,100,12.64,LK,1599972865
499,Moose Factory,51.26,-80.61,55.4,93,90,16.11,CA,1599973120
500,Laas,46.62,10.7,57.2,100,5,3.36,IT,1599972893
501,Waingapu,-9.66,120.26,87.94,36,73,19.04,ID,1599973122
502,Ashland,40.82,-82.27,73.4,94,1,14.99,US,1599973123
503,Port Augusta,-32.5,137.77,66.99,55,8,16.11,AU,1599973125
504,West Bay,19.37,-81.42,82.99,82,54,3.0,KY,1599973126
505,Teguise,29.06,-13.56,71.6,83,65,4.7,ES,1599973127
506,Inuvik,68.35,-133.72,32.0,95,90,3.36,CA,1599973128
507,Moranbah,-22.0,148.05,75.58,48,96,14.03,AU,1599973130
508,Khanpur,28.65,70.66,102.33,27,0,6.91,PK,1599973131
509,Venice of the Philippines,4.66,119.39,85.84,68,100,7.85,PH,1599973132
510,Galesong,-5.32,119.37,91.4,41,20,10.29,ID,1599973133
511,Dwārka,22.24,68.97,85.84,70,8,9.48,IN,1599973135
512,Kamenka,51.32,42.77,56.84,56,0,4.76,RU,1599972925
513,Naze,28.37,129.48,82.4,94,75,11.41,JP,1599973137
514,Creel,27.75,-107.63,54.66,91,76,8.52,MX,1599973138
515,Buraidah,26.33,43.98,75.2,27,0,6.93,SA,1599972846
516,Tortolì,39.93,9.66,69.8,64,20,11.41,IT,1599973141
517,Gizo Government Station,-8.1,156.84,85.15,67,7,2.3,SB,1599973142
518,Korem,12.51,39.52,63.3,66,7,1.68,ET,1599973143
519,Nizhniy Tsasuchey,50.52,115.13,66.16,54,81,20.83,RU,1599973145
520,Lagoa,39.05,-27.98,71.04,74,7,8.03,PT,1599973146
521,Charthāwal,29.55,77.58,89.73,55,0,4.21,IN,1599973147
522,Praia da Vitória,38.73,-27.07,66.2,88,20,4.18,PT,1599973148
523,Areosa,41.72,-8.86,79.0,64,100,5.7,PT,1599973150
524,Leningradskiy,69.38,178.42,46.44,73,5,5.03,RU,1599973151
525,Gairo,39.85,9.5,69.8,64,20,11.41,IT,1599973152
526,Panzhihua,26.59,101.71,71.42,81,100,1.95,CN,1599973153
527,Vieste,41.88,16.18,73.99,78,20,10.29,IT,1599973154
528,Provideniya,64.38,-173.3,44.56,76,90,13.89,RU,1599973156
529,Paita,-5.09,-81.11,61.56,85,13,10.98,PE,1599973157
530,Sunrise Manor,36.21,-115.07,86.0,8,1,1.12,US,1599973120
531,Rafrāf,37.19,10.18,69.8,77,40,5.82,TN,1599973159
532,Shakawe,-18.37,21.85,55.09,40,0,3.44,BW,1599973161
533,Arrondissement de Thiers,45.83,3.5,51.8,76,0,2.24,FR,1599973162
534,Kaili,-3.46,120.21,79.83,54,72,6.44,ID,1599973163
535,Lata,40.16,-8.33,68.0,56,81,2.37,PT,1599973164
536,Malumfashi,11.79,7.62,69.93,89,57,6.53,NG,1599973166
537,Tuckahoe,37.59,-77.56,64.0,93,1,3.42,US,1599973167
538,Villa Corzo,16.17,-93.25,77.0,73,75,12.75,MX,1599973168
539,Ubatã,-14.21,-39.52,66.24,97,59,2.17,BR,1599973170
540,Summerville,33.02,-80.18,77.0,100,90,5.75,US,1599973171
541,Point Pedro,9.82,80.23,83.17,73,100,9.1,LK,1599973172
542,Melfi,41.0,15.65,73.4,78,20,10.29,IT,1599973173
543,Lenoir City,35.8,-84.26,75.0,99,98,0.07,US,1599973175
544,Ayagoz,47.97,80.44,67.93,27,100,9.26,KZ,1599973176
545,Ksino Nero,40.68,21.62,71.01,51,0,3.29,GR,1599973177
546,Paramonga,-10.67,-77.83,59.4,87,30,5.91,PE,1599973178
547,Muisne,0.6,-80.03,73.9,88,100,9.6,EC,1599973180
548,Somerset East,-32.72,25.59,70.74,23,16,17.56,ZA,1599973181
549,Flin Flon,54.77,-101.86,42.51,87,94,7.43,CA,1599973182
550,Atbasar,51.8,68.33,70.61,24,88,6.31,KZ,1599973184
551,Al Bardīyah,31.76,25.09,73.85,73,0,6.26,LY,1599973185
552,Kahului,20.89,-156.47,84.2,54,40,17.22,US,1599973186
553,Aitape,-3.14,142.35,84.79,77,49,9.48,PG,1599973188
554,Kearney,40.7,-99.08,57.2,82,1,3.13,US,1599973189
555,Bagn,60.82,9.55,39.99,76,0,8.01,NO,1599973190
556,Djibouti,11.5,42.5,93.2,41,1,6.06,DJ,1599973191
557,Wattegama,6.8,81.48,84.2,79,40,13.87,LK,1599973192
558,Lambaréné,-0.7,10.24,72.21,92,89,3.78,GA,1599973194
559,Xaçmaz,41.46,48.81,75.94,59,0,5.21,AZ,1599973148
560,Malakal,9.53,31.66,74.62,88,95,2.82,SS,1599973196
561,Sinnamary,5.38,-52.95,79.3,85,13,11.16,GF,1599973197
562,Dambulla,7.86,80.65,86.95,53,95,13.78,LK,1599973198
563,Bima,-8.47,118.72,95.23,25,94,10.2,ID,1599973200
564,San Jose,37.34,-121.89,70.0,64,90,3.36,US,1599973090
565,Iroquois Falls,48.77,-80.68,53.6,93,75,9.17,CA,1599973203
566,Armizonskoye,55.95,67.67,59.16,62,93,5.44,RU,1599973205
567,Jiutai,44.15,125.83,68.0,60,20,2.24,CN,1599973208
568,Jumla,29.27,82.18,75.25,35,20,5.48,NP,1599973210
569,Isiro,2.77,27.62,67.41,98,59,1.14,CD,1599973212
570,The Valley,18.22,-63.06,82.4,78,20,5.82,AI,1599973029
571,Dodoma,-6.17,35.74,62.6,88,20,11.41,TZ,1599973210
572,Tabat,-2.63,115.23,90.27,56,85,2.28,ID,1599973215
573,Jalu,29.03,21.55,77.63,44,0,7.52,LY,1599973216
574,Sabha,27.04,14.43,78.35,26,0,5.97,LY,1599972923
575,Dobryanka,58.46,56.42,50.0,93,61,11.18,RU,1599973219
576,Kibaya,-5.3,36.57,61.56,76,54,5.7,TZ,1599973220
577,Glendive,47.11,-104.71,62.6,48,1,6.93,US,1599973222
578,Pacific Grove,36.62,-121.92,55.99,98,10,3.29,US,1599973071
579,Severo-Yeniseyskiy,60.37,93.04,60.75,57,27,1.48,RU,1599973224
580,Kudahuvadhoo,2.67,72.89,82.81,78,98,12.62,MV,1599973225
581,Ferrol,43.48,-8.24,64.99,82,32,5.82,ES,1599973227
582,Olinda,-8.01,-34.86,77.0,73,40,11.41,BR,1599973228
583,Patan,27.67,85.33,77.0,83,75,3.36,NP,1599973229
584,Boulder City,35.98,-114.83,80.6,25,1,4.7,US,1599973169
585,Rawson,-43.3,-65.1,48.4,50,0,19.66,AR,1599973232
586,Broken Hill,-31.95,141.43,71.6,49,73,12.75,AU,1599973087
587,Kulhudhuffushi,6.62,73.07,81.9,79,91,12.48,MV,1599973234
588,Nemuro,43.32,145.57,60.8,63,75,12.75,JP,1599973236
589,Makakilo City,21.35,-158.09,82.4,51,90,5.82,US,1599973153
590,Sri Aman,1.24,111.46,82.4,88,75,1.12,MY,1599973238
591,Cordele,31.96,-83.78,75.2,88,1,5.82,US,1599973240
592,Aswān,24.09,32.91,88.34,20,0,11.41,EG,1599973241
593,Tarija,-21.54,-64.73,62.8,64,40,4.5,BO,1599973242
594,Mulegé,26.88,-111.98,82.15,42,0,1.28,MX,1599973244
595,Manokwari,-0.87,134.08,84.92,73,92,11.1,ID,1599973080
596,Poum,-20.23,164.02,72.97,72,59,15.88,NC,1599973246
597,Palmer,42.16,-72.33,55.4,71,1,4.7,US,1599973248
598,Borba,-4.39,-59.59,78.21,60,18,1.43,BR,1599973249
599,Carbondale,37.73,-89.22,71.6,94,1,2.01,US,1599973243
600,Boende,-0.22,20.87,71.24,94,94,1.83,CD,1599973251
601,Orlik,52.52,99.83,43.81,62,100,9.15,RU,1599973253
602,Gurupá,-1.41,-51.64,75.04,92,18,4.25,BR,1599973254
603,Santana do Livramento,-30.89,-55.53,60.66,97,100,8.57,BR,1599973255
604,Rafai,4.95,23.92,67.87,97,96,1.3,CF,1599973256
605,Shellbrook,53.22,-106.4,37.4,86,40,2.24,CA,1599973230
606,Ascension,30.22,-90.9,79.0,94,1,3.36,US,1599973258
607,Ouésso,1.61,16.05,69.26,95,97,2.8,CG,1599973260
608,San Juan,-31.54,-68.54,59.5,31,0,6.76,AR,1599973245
609,Valparaíso,-33.04,-71.63,42.8,100,0,2.24,CL,1599973262
610,Pecos,31.42,-103.49,71.6,64,1,9.82,US,1599973263
611,Ilia Prefecture,37.75,21.58,66.2,88,20,3.62,GR,1599973264
612,Republic,37.12,-93.48,66.0,93,1,3.22,US,1599973266
613,Nadadores,27.05,-101.6,82.99,55,87,5.01,MX,1599973267
614,Luganville,-15.53,167.17,77.0,94,90,11.41,VU,1599973268
615,Vanino,49.09,140.25,66.24,55,91,5.23,RU,1599973269
616,Trincomalee,8.57,81.23,86.85,63,100,14.18,LK,1599973271
617,Hue,16.47,107.6,96.8,50,20,5.82,VN,1599973068
618,Houma,29.6,-90.72,78.01,100,1,4.7,US,1599973198
619,Enid,36.4,-97.88,68.0,100,1,3.36,US,1599972994
620,Bereda,43.27,-7.54,64.99,100,17,1.99,ES,1599973275
621,Mabini,15.6,120.98,89.6,62,75,2.24,PH,1599973276
622,Almaznyy,48.04,40.05,59.0,44,0,15.66,RU,1599973278
623,Beringovskiy,63.05,179.32,48.63,94,100,31.07,RU,1599973279
624,Svetlaya,46.54,138.33,62.22,60,100,10.83,RU,1599973280
625,Yumen,40.28,97.2,67.14,22,59,15.75,CN,1599973282
626,Jamiltepec,16.28,-97.82,72.3,100,100,1.7,MX,1599973283
627,Sangmélima,2.93,11.98,65.3,98,99,2.44,CM,1599973284
628,Boyolangu,-8.12,111.89,84.92,56,100,12.59,ID,1599973285
629,Sharkan,57.3,53.87,51.01,87,15,1.01,RU,1599973287
630,Rockhampton,-23.38,150.5,78.8,47,40,9.17,AU,1599973288
631,Misratah,32.38,15.09,79.56,78,0,12.62,LY,1599973289
632,Tantangan,6.62,124.75,94.1,51,6,1.68,PH,1599973290
633,Cockburn Town,21.46,-71.14,83.46,72,37,12.35,TC,1599973212
634,Dukat,62.55,155.55,44.65,69,81,10.31,RU,1599973293
635,Ilebo,-4.32,20.58,72.3,86,0,0.63,CD,1599973294
636,Orël-Izumrud,43.46,39.92,75.0,60,0,6.71,RU,1599973295
637,Cayenne,4.93,-52.33,75.2,100,27,1.12,GF,1599972998
638,Qasigiannguit,68.82,-51.19,28.4,58,0,12.75,GL,1599973298
639,Port Blair,11.67,92.75,86.2,67,100,8.9,IN,1599973217
640,Utica,43.1,-75.23,64.4,63,90,9.17,US,1599973300
641,Tomatlán,19.93,-105.25,76.26,89,60,2.44,MX,1599973301
642,Troitskoye,52.98,84.68,59.95,48,0,6.04,RU,1599973302
643,Mehamn,71.04,27.85,46.06,77,99,4.99,NO,1599973304
644,Payo,-3.75,103.64,96.91,38,100,2.64,ID,1599973305
645,Manono,-7.3,27.42,78.12,39,73,3.13,CD,1599973306
646,Porbandar,21.64,69.61,86.0,84,75,11.41,IN,1599973131
647,Mitsamiouli,-11.38,43.28,78.17,74,0,4.7,KM,1599973308
648,Alyangula,-13.85,136.42,84.2,62,75,9.17,AU,1599973310
649,Los Llanos de Aridane,28.66,-17.92,71.6,78,20,3.36,ES,1599973311
650,Coahuayana Viejo,18.73,-103.68,78.39,85,40,2.04,MX,1599973312
651,Itambacuri,-18.03,-41.69,65.41,85,16,7.4,BR,1599973314
652,Kondinskoye,59.65,67.41,53.49,82,97,5.86,RU,1599973315
653,Salinópolis,-0.61,-47.36,79.63,85,39,11.25,BR,1599973317
654,Cabedelo,-6.98,-34.83,71.6,88,20,6.93,BR,1599973318
655,Dikson,73.51,80.55,43.66,93,99,15.03,RU,1599973320
656,Domoni,-12.26,44.53,77.49,78,26,8.52,KM,1599973321
657,Dunedin,-45.87,170.5,53.01,73,100,1.01,NZ,1599973322
658,Port Keats,-14.25,129.55,85.78,51,66,11.79,AU,1599973323
659,Caorle,45.6,12.88,66.0,85,7,10.63,IT,1599973325
660,Azle,32.9,-97.55,75.2,78,1,5.82,US,1599973326
661,Granja,-3.12,-40.83,72.9,87,28,7.23,BR,1599973327
662,Pangnirtung,66.15,-65.71,34.77,85,0,0.58,CA,1599973329
663,Fareydūnshahr,32.94,50.12,63.7,29,0,5.3,IR,1599973330
664,Tandaltī,13.02,31.87,78.21,72,100,6.87,SD,1599973331
665,Fortuna,40.6,-124.16,55.0,93,12,4.05,US,1599973332
666,Hollola,61.05,25.43,48.99,99,13,1.99,FI,1599973334
667,Gilleleje,56.12,12.31,57.0,89,100,19.51,DK,1599973335
668,Igrim,63.19,64.42,51.82,77,86,5.91,RU,1599973336
669,Valdosta,30.83,-83.28,77.0,83,1,5.82,US,1599973067
670,Varkala,8.73,76.71,84.2,83,75,3.36,IN,1599973339
671,Calamar,10.25,-74.91,77.16,91,92,3.83,CO,1599973340
672,Tanout,14.97,8.89,85.32,37,55,7.52,NE,1599973341
673,Punta Cardon,11.66,-70.22,83.84,77,27,15.99,VE,1599973342
674,Dubbo,-32.25,148.62,68.0,49,100,9.17,AU,1599973070
675,Goderich,43.75,-81.72,66.0,89,98,1.01,CA,1599973205
676,Waipawa,-41.41,175.52,57.2,71,97,25.28,NZ,1599973346
677,Doha,25.29,51.53,100.0,67,97,4.7,QA,1599973347
678,Mount Isa,-20.73,139.5,87.8,18,0,9.17,AU,1599973348
679,Akdepe,42.06,59.38,71.6,45,12,4.7,TM,1599973350
680,Bontang,0.13,117.5,80.47,83,100,8.77,ID,1599973351
681,Rasshevatskaya,45.57,41.03,68.02,44,0,15.68,RU,1599973352
682,Loviisa,60.46,26.23,50.0,93,8,3.0,FI,1599973353
683,Hita,33.32,130.93,81.0,69,40,13.87,JP,1599973355
684,Yashkul',46.17,45.34,66.78,36,0,13.47,RU,1599973356
685,San Policarpo,12.18,125.51,86.45,66,27,7.85,PH,1599973141
686,Kurchum,48.57,83.65,67.37,23,81,3.0,KZ,1599973358
687,Binzhou,37.37,118.02,79.83,53,89,8.72,CN,1599973360
688,Constitución,-35.33,-72.42,47.57,77,1,9.48,CL,1599973361
689,Salalah,17.02,54.09,80.6,78,20,2.24,OM,1599973307
690,Nogliki,51.83,143.17,63.59,64,13,3.51,RU,1599973363
691,Mariakani,-3.86,39.47,73.4,94,20,8.05,KE,1599973364
692,Sanmenxia,34.77,111.18,80.69,46,28,13.69,CN,1599973366
693,Catabola,-12.15,17.28,54.57,40,19,1.95,AO,1599973367
694,Sherlovaya Gora,50.57,116.25,62.65,58,80,21.25,RU,1599973368
695,Ergani,38.27,39.76,73.4,42,0,5.82,TR,1599973370
696,Seidu,9.02,-10.6,67.19,100,97,1.03,SL,1599973371
697,Anloga,5.79,0.9,71.6,94,40,4.7,GH,1599973372
698,Ismailia,30.6,32.27,75.31,75,0,2.75,EG,1599973331
699,Sonīpat,28.98,77.02,89.6,70,40,3.36,IN,1599973374
700,Soloneshnoye,51.65,84.32,66.25,32,0,1.77,RU,1599973376
701,Biloela,-24.42,150.5,77.52,42,44,9.44,AU,1599973377
702,Whitianga,-36.83,175.7,57.99,65,0,10.0,NZ,1599973378
703,Jinka,5.65,36.65,65.39,78,99,4.45,ET,1599973380
704,Moree,-29.47,149.85,77.0,25,91,6.93,AU,1599973218
705,Horsham,51.06,-0.33,57.99,100,75,1.12,GB,1599973382
706,Castelo do Piauí,-5.32,-41.55,76.44,40,57,7.43,BR,1599973384
707,Kidal,18.44,1.41,86.45,21,0,0.83,ML,1599973385
708,Bundaberg,-24.85,152.35,73.4,60,75,17.22,AU,1599973387
709,Shimoda,34.67,138.95,84.2,79,40,11.41,JP,1599973388
710,Safi,32.3,-9.24,68.52,87,96,3.09,MA,1599973390
711,Aberdeen,57.14,-2.1,53.6,93,100,8.05,GB,1599973303
712,Nueve de Julio,-35.44,-60.88,50.0,69,6,1.01,AR,1599973266
713,Jasper,37.2,-94.35,63.0,93,1,3.36,US,1599973393
714,Kingsport,36.55,-82.56,72.0,94,75,2.91,US,1599973311
715,Akdağmadeni,39.66,35.88,70.54,35,0,2.3,TR,1599973396
716,Soyo,-6.13,12.37,73.8,85,83,8.19,AO,1599973336
717,Varhaug,58.61,5.65,53.6,93,75,12.75,NO,1599973398
718,Vestmannaeyjar,63.44,-20.27,47.79,80,100,23.04,IS,1599973399
719,Ola,59.58,151.28,58.1,50,0,5.97,RU,1599973401
720,Barinas,8.62,-70.21,73.6,90,99,2.95,VE,1599973402
721,Khāsh,28.22,61.22,78.4,16,0,6.4,IR,1599973403
722,Iskateley,67.68,53.15,47.44,86,94,10.47,RU,1599973404
723,Kisangani,0.52,25.2,70.9,96,65,0.38,CD,1599973405
724,Moi,58.46,6.55,55.0,87,100,8.79,NO,1599973407
725,Acapulco de Juárez,16.86,-99.89,80.53,80,100,3.27,MX,1599973215
726,Borovskoy,53.8,64.15,55.02,77,97,8.34,KZ,1599973409
727,Priladozhskiy,59.85,31.48,55.0,91,67,17.36,RU,1599973411
728,Los Algarrobos,8.5,-82.43,78.01,86,100,1.01,PA,1599973412
729,Beckley,37.78,-81.19,68.0,88,90,9.17,US,1599973268
730,Saint-Pierre,-21.34,55.48,75.2,69,20,14.99,RE,1599973414
731,Sandakan,5.84,118.12,89.6,70,40,9.17,MY,1599973416
732,Trairi,-3.28,-39.27,77.41,75,46,15.01,BR,1599973418
733,Kysyl-Syr,63.9,122.76,50.36,95,100,5.46,RU,1599973419
734,Caxito,-8.58,13.66,71.6,88,75,5.82,AO,1599973420
735,Tamale,9.4,-0.84,72.99,95,100,9.22,GH,1599973421
736,Malé,4.17,73.51,86.0,79,75,13.87,MV,1599973423
737,Elizabethtown,37.69,-85.86,71.6,100,40,3.36,US,1599973424
738,Iisalmi,63.56,27.19,51.8,87,90,12.75,FI,1599973425
739,Santa Cruz de Tenerife,28.47,-16.25,71.01,93,90,6.93,ES,1599973395
740,Ierissos,40.4,23.88,68.0,65,0,1.99,GR,1599973427
741,Port Macquarie,-31.43,152.92,75.0,58,95,12.59,AU,1599973368
742,Kamyshevatskaya,46.41,37.96,66.45,40,0,18.54,RU,1599973430
743,Margate,51.38,1.39,59.0,97,57,1.01,GB,1599973431
744,Razvilnoye,46.24,41.3,67.41,33,0,15.68,RU,1599973433
745,Bongandanga,1.5,21.05,70.16,97,95,1.14,CD,1599973434
746,Carballo,43.21,-8.69,71.01,82,45,5.82,ES,1599973435
747,Kholmogory,64.22,41.66,50.0,100,90,6.71,RU,1599973437
748,Afşin,38.25,36.91,74.26,23,0,0.96,TR,1599973438
749,Krasnosel'kup,65.7,82.47,58.57,75,99,17.78,RU,1599973440
750,Tuma,55.15,40.55,51.01,71,9,4.0,RU,1599973441
751,Mt. Pleasant,32.79,-79.86,80.6,94,90,12.3,US,1599973430
